name,category,phone,address,rating,review_snippet,place_id,has_website,email,demo_url
Pit stop barbershop F-1,Barber shop,(630) 233-9606,"2733 US-34, Oswego, IL 60543, USA",5,"Daniel is an excellent barber and always does an amazing job. He pays close attention to detail, makes sure you get exactly the cut you want, and keeps everything professional the entire time. The bar",ChIJSVVIdMjxDogRXXxnYsnD0F4,no,,
Lekaroz Bakery,Bakery,(815) 886-0365,"101 W Romeo Rd #2, Romeoville, IL 60446, USA",4.4,Im super sad to write this review but my bread had a lot of mold growing on it. Unfortunately after years i will not be coming back.,ChIJkTXhmCRcDogR9JVzImGaPpQ,no,,
Gigante Bakery,Bakery,(630) 972-0122,"140 S Bolingbrook Dr, Bolingbrook, IL 60440, USA",3.7,I have been ordering from them since my daughter has been 3 years old ! They are amazing and do a wonderful job ! Any cake i wanted they have made for me even if it's not in there book they have done ,ChIJkVLdqbdbDogRiHT5bIGjsdQ,no,,
Panaderia Don Lupe,Bakery,(331) 757-5924,"253 N Schmidt Rd, Bolingbrook, IL 60440, USA",4.5,Was looking for some Mexican sweets. I found some on this location. But they were not great. Just decent. Does anyone knows a better place by boiling Brook or any other near suburbs that have good mex,ChIJofh9LHpbDogRLMHKhO0R6JM,no,,
Knead Dough Co Turano Bread,Bakery,(630) 972-0404,"556 St James Gate, Bolingbrook, IL 60440, USA",3.7,"Nice clean restroom,driver lounge is nice and clean coffee for drivers.
Little tide for back up, no overheating parking.",ChIJM9UE9ZhbDogR5fqWrYjsvHg,no,,
Bakery,,,"Bakery, Romeoville, IL 60446, USA",,,ChIJH-ugZEpeDogRqc6ke_OOcVA,no,,
DulcebyIsa,Pastry Shop,(630) 770-9396,"708 S Weber Rd, Romeoville, IL 60446, USA",,,ChIJxUGPW5VfDogRtJBqc5Ugd7E,no,,
Bakery,,,"Bakery, Plainfield, IL 60585, USA",,,ChIJpynl0cz1DogRmwJQNWvZgnY,no,,
Greenwood Lawn Services,General Contractor,(630) 420-9919,"Graver Estates, 13251 Vicky St, Plainfield, IL 60585, USA",4.3,We’ve used Greenwood for years. They do an excellent job!,ChIJLdpHybv1DogRJDzNygHiSx0,no,,
Ace of Fades,Barber shop,(815) 630-5075,"3340 Mall Loop Dr Ste 1430, Joliet, IL 60431, USA",3.8,Hispanic dude overcharged me after cutting my sons hair! He told me the price was $40 when the website says $30. I didn’t know it was $30 until I left. Also this dude has a son right outside the store,ChIJHQ1HKNlfDogRjNPFxTSSpnc,no,,
Paris Nails,Nail Salon,(815) 254-5963,"2200 Rte 59 Unit 4, Plainfield, IL 60586, USA",4.4,Always pay attention to detail and make sure nails are even and polished and designed impeccably. love them!!! Pure perfection every time I go!!! Highly recommend.  Make an apt!,ChIJjSwCM-SKDogRsrZfPH1Rm5c,no,,
Eva:Emma,Cafe,(253) 449-6062,"504 Herath Ln, Shorewood, IL 60404, USA",,,ChIJDRzUkumLDogRHOxcXuWIbzE,no,,
Wally's lawn care llc,Services,(815) 690-6550,"2077 Sutcliffe Dr, Romeoville, IL 60446, USA",5,"The BEST in the business, my husband and I called for a  quote for lawn care and Wally said give me a half hour and I will come and let you know my rates.  He not only showed up within the time schedu",ChIJdctJt4VfDogRt_8XcPazQZ8,no,,
Blissful Brew Coffee Co,Coffee Shop,(708) 738-5855,"133 E 9th St, Lockport, IL 60441, USA",5,"I think I might be a regular here by now..if I lived walking distance I would probably be here daily … every coffee I have tried has been amazing! My favorites currently (iced coffees) : teddy graham,",ChIJsYIC8SZdDogRVDGeqLLyCIY,no,,
Limitless Cuts & Styles 2,Barber shop,(331) 293-4805,"1649 Montgomery Rd, Aurora, IL 60504, USA",5,Great barbershop with good atmosphere and Einer got the best cuts,ChIJ1eKsb8XxDogRndBldY22sfs,no,,
Cafe Romeo,Breakfast Restaurant,(815) 293-4041,"345 N Independence Blvd, Romeoville, IL 60446, USA",4.1,"We love this place! The food is always delicious, and the portions are so generous that I never remember to take a photo until we’re almost done eating. 😄

This time we ordered the burger, a medium st",ChIJld-kVjtcDogRVBtz7FUf1pw,no,,
Beezy the Barber,Barber shop,(331) 327-4816,"619 e boughton rd ste 143, Suite 24, Bolingbrook, IL 60440, USA",5,Good service. Great barber. I got out the chair looking my best. He took me in last minute too. Now he my only barber for me and my family,ChIJCSeseaSLDogRkeo8krzIK-c,no,,
The Barber Cave,Barber shop,(779) 205-6252,"2250 Weber Rd, Crest Hill, IL 60403, USA",5,James is a very professional barber and excellent business man. I was referred to him after trying multiple barbers for my kids to no avail. He is great with kids and very personable. My kids enjoy ge,ChIJiaj4tHxhDogRZu1KVq4w114,no,,
La Bre Kafe,Coffee Shop,(708) 390-8555,"3601 216th St, Matteson, IL 60443, USA",4.8,Was looking for coffee in the vicinity. This coffeehouse came up as a recommendation. Glad I followed through on it. Great coffee. Great service. Loved the relaxed atmosphere. I will definitely return,ChIJnylDEwARDogRuDjAfXNNCkE,no,,
